Product Name,File Path,Config file name,Type,Search Provider Used,Content Delivery (CD),Content Management (CM),Processing,CM + Processing,Reporting,Reporting Client
Platform,\website\,Web.config,config,,Enable,Enable,Enable,Enable,Enable,n/a
Platform,\website\,Web.config.Oracle,config,,n/a,n/a,n/a,n/a,n/a,n/a
Platform,\website\App_Config\,Commands.config,config,,Enable,Enable,Enable,Enable,Enable,n/a
Platform,\website\App_Config\,ConnectionStrings.config,config,,Enable,Enable,Enable,Enable,Enable,n/a
Platform,\website\App_Config\,ConnectionStringsOracle.config,config,,n/a,n/a,n/a,n/a,n/a,n/a
Platform,\website\App_Config\,FieldTypes.config,config,,Enable,Enable,Enable,Enable,Enable,n/a
Platform,\website\App_Config\,Icons.config,config,,Enable,Enable,Enable,Enable,Enable,n/a
Platform,\website\App_Config\,LanguageDefinitions.config,config,,Enable,Enable,Enable,Enable,Enable,n/a
Platform,\website\App_Config\,MimeTypes.config,config,,Enable,Enable,Enable,Enable,Enable,n/a
Platform,\website\App_Config\,Portraits.config,config,,Enable,Enable,Enable,Enable,Enable,n/a
Platform,\website\App_Config\,Prototypes.config,config,,Enable,Enable,Enable,Enable,Enable,n/a
Platform,\website\App_Config\,Sitecore.config,config,,Enable,Enable,Enable,Enable,Enable,n/a
Platform,\website\App_Config\,Sitecore.config.Oracle,config,,n/a,n/a,n/a,n/a,n/a,n/a
Platform,\website\App_Config\,XamlSharp.config,config,,Enable,Enable,Enable,Enable,Enable,n/a
SPEAK,\website\App_Config\Include,001.Sitecore.Speak.Important.config,config,,Disable,Enable,Disable,Enable,Disable,n/a
Platform,\website\App_Config\Include,CacheContainers.config.example,example,,Enable,Enable,Enable,Enable,Enable,n/a
Platform,\website\App_Config\Include,DataFolder.config.example,example,,Enable,Enable,Enable,Enable,Enable,n/a
Platform,\website\App_Config\Include,EventHandler.config.example,example,,n/a,n/a,n/a,n/a,n/a,n/a
Platform,\website\App_Config\Include,ForwardingSecurityEvents.config.example,example,,n/a,n/a,n/a,n/a,n/a,n/a
Platform,\website\App_Config\Include,ja-JP.config.example,example,,n/a,n/a,n/a,n/a,n/a,n/a
Platform,\website\App_Config\Include,LiveMode.config.example,example,,n/a,n/a,n/a,n/a,n/a,n/a
